"Data_point","company","year","value"
"ROA ","ÅF B","2007",0.079
"DD","ÅF B","2007",1
"ID","ÅF B","2007",0
"DE","ÅF B","2007",0
"DDE","ÅF B","2007",0
"Total Assets","AAK","2007",8857
"Foreign sales","AAK","2007",11342
"BV equity","AAK","2007",2443
"Cash","AAK","2007",167
"Gross nominal value","AAK","2007",2655
"R&D expenses","AAK","2007",190
"Total debt","AAK","2007",4457
"Capex","AAK","2007",685
"Net income","AAK","2007",319
"Short term liabilities","AAK","2007",1925
"No of shares (millions)","AAK","2007",41
"Share price 31/12 (est = x cost of EQ - dividend)","AAK","2007",117
"Capitalization","AAK","2007",4797
"Total Assets","Active Biotech","2007",489.5
"Foreign sales","Active Biotech","2007",5
"BV equity","Active Biotech","2007",190
"Cash","Active Biotech","2007",139
"Gross nominal value","Active Biotech","2007",0
"R&D expenses","Active Biotech","2007",189.7
"Total debt","Active Biotech","2007",256.1
"Capex","Active Biotech","2007",91
"Net income","Active Biotech","2007",-207.7
"Short term liabilities","Active Biotech","2007",49
"No of shares (millions)","Active Biotech","2007",49
"Share price 31/12 (est = x cost of EQ - dividend)","Active Biotech","2007",58.4
"Capitalization","Active Biotech","2007",2862
"Total Assets","Alfa Laval","2007",23238
"Foreign sales","Alfa Laval","2007",23862
"BV equity","Alfa Laval","2007",7937
"Cash","Alfa Laval","2007",856
"Gross nominal value","Alfa Laval","2007",7179
"R&D expenses","Alfa Laval","2007",643
"Total debt","Alfa Laval","2007",3456
"Capex","Alfa Laval","2007",556
"Net income","Alfa Laval","2007",3180
"Short term liabilities","Alfa Laval","2007",8456
"No of shares (millions)","Alfa Laval","2007",110.2
"Share price 31/12 (est = x cost of EQ - dividend)","Alfa Laval","2007",91
"Capitalization","Alfa Laval","2007",10028.2
"Total Assets","Arcam","2007",84.2
"Foreign sales","Arcam","2007",19
"BV equity","Arcam","2007",57.3
"Cash","Arcam","2007",17.8
"Gross nominal value","Arcam","2007",0
"R&D expenses","Arcam","2007",15.3
"Total debt","Arcam","2007",0
"Capex","Arcam","2007",10.6
"Net income","Arcam","2007",2.3
"Short term liabilities","Arcam","2007",26.9
"Capitalization","Arcam","2007",66.6
"Total Assets","ASSA ABLOY B","2007",37732
"Foreign sales","ASSA ABLOY B","2007",32003
"BV equity","ASSA ABLOY B","2007",15668
"Cash","ASSA ABLOY B","2007",1138
"Gross nominal value","ASSA ABLOY B","2007",6064
"R&D expenses","ASSA ABLOY B","2007",776
"Total debt","ASSA ABLOY B","2007",12953
"Capex","ASSA ABLOY B","2007",751
"Net income","ASSA ABLOY B","2007",3368
"Short term liabilities","ASSA ABLOY B","2007",11843
"No of shares (millions)","ASSA ABLOY B","2007",365.9
"Share price 31/12 (est = x cost of EQ - dividend)","ASSA ABLOY B","2007",129.75
"Capitalization","ASSA ABLOY B","2007",47476
"Total Assets","Atlas Copco","2007",56659
"Foreign sales","Atlas Copco","2007",61810
"BV equity","Atlas Copco","2007",14640
"Cash","Atlas Copco","2007",3473
"Gross nominal value","Atlas Copco","2007",692
"R&D expenses","Atlas Copco","2007",1286
"Total debt","Atlas Copco","2007",19775
"Capex","Atlas Copco","2007",2950
"Net income","Atlas Copco","2007",7469
"Short term liabilities","Atlas Copco","2007",18974
"No of shares (millions)","Atlas Copco","2007",1220.7
"Capitalization","Atlas Copco","2007",114630
"Total Assets","B&B tools","2007",4421
"Foreign sales","B&B tools","2007",2915
"BV equity","B&B tools","2007",1239
"Cash","B&B tools","2007",170
"Gross nominal value","B&B tools","2007",182
"R&D expenses","B&B tools","2007",0
"Total debt","B&B tools","2007",1202
"Capex","B&B tools","2007",728
"Net income","B&B tools","2007",290
"Short term liabilities","B&B tools","2007",1931
"Capitalization","B&B tools","2007",6085
"Total Assets","Beijer alma","2007",1349
"Foreign sales","Beijer alma","2007",1332
"BV equity","Beijer alma","2007",847
"Cash","Beijer alma","2007",165
"Gross nominal value","Beijer alma","2007",295.8
"R&D expenses","Beijer alma","2007",12.5
"Total debt","Beijer alma","2007",197.8
"Capex","Beijer alma","2007",79.2
"Net income","Beijer alma","2007",206
"Short term liabilities","Beijer alma","2007",435
"No of shares (millions)","Beijer alma","2007",27.431
"Share price 31/12 (est = x cost of EQ - dividend)","Beijer alma","2007",69.25
"Capitalization","Beijer alma","2007",1900
"Total Assets","Beijer ref","2007",1985
"Foreign sales","Beijer ref","2007",2154
"BV equity","Beijer ref","2007",727
"Cash","Beijer ref","2007",81
"Gross nominal value","Beijer ref","2007",0
"R&D expenses","Beijer ref","2007",7
"Total debt","Beijer ref","2007",699
"Capex","Beijer ref","2007",290
"Net income","Beijer ref","2007",212
"Short term liabilities","Beijer ref","2007",1258
"Capitalization","Beijer ref","2007",4216
"Total Assets","Bilia","2007",7043
"Foreign sales","Bilia","2007",5622
"BV equity","Bilia","2007",1507
"Cash","Bilia","2007",97
"Gross nominal value","Bilia","2007",0
"R&D expenses","Bilia","2007",0
"Total debt","Bilia","2007",1683
"Capex","Bilia","2007",135
"Net income","Bilia","2007",100
"Short term liabilities","Bilia","2007",3382
"Capitalization","Bilia","2007",2200
"Total Assets","BioGaia","2007",111
"Foreign sales","BioGaia","2007",75
"BV equity","BioGaia","2007",95
"Cash","BioGaia","2007",43
"Gross nominal value","BioGaia","2007",0
"R&D expenses","BioGaia","2007",18
"Total debt","BioGaia","2007",0
"Capex","BioGaia","2007",2
"Net income","BioGaia","2007",20
"Short term liabilities","BioGaia","2007",16
"No of shares (millions)","BioGaia","2007",17.2
"Share price 31/12 (est = x cost of EQ - dividend)","BioGaia","2007",27.8
"Capitalization","BioGaia","2007",478
"Total Assets","Boliden","2007",33204
"Foreign sales","Boliden","2007",25831
"BV equity","Boliden","2007",12932
"Cash","Boliden","2007",878
"Gross nominal value","Boliden","2007",6513
"R&D expenses","Boliden","2007",322
"Total debt","Boliden","2007",6423
"Capex","Boliden","2007",2511
"Net income","Boliden","2007",3787
"Short term liabilities","Boliden","2007",6784
"No of shares (millions)","Boliden","2007",274
"Share price 31/12 (est = x cost of EQ - dividend)","Boliden","2007",81.25
"Capitalization","Boliden","2007",22263
"Total Assets","Bure equity","2007",3747
"Foreign sales","Bure equity","2007",741
"BV equity","Bure equity","2007",2754
"Cash","Bure equity","2007",449
"Gross nominal value","Bure equity","2007",0
"R&D expenses","Bure equity","2007",0
"Total debt","Bure equity","2007",216
"Capex","Bure equity","2007",0
"Net income","Bure equity","2007",1047
"Short term liabilities","Bure equity","2007",665
"Capitalization","Bure equity","2007",3533
"Total Assets","Catena","2007",2543
"Foreign sales","Catena","2007",66
"BV equity","Catena","2007",1006
"Cash","Catena","2007",35
"Gross nominal value","Catena","2007",0
"R&D expenses","Catena","2007",0
"Total debt","Catena","2007",1224
"Capex","Catena","2007",4.5
"Net income","Catena","2007",216
"Short term liabilities","Catena","2007",46
"No of shares (millions)","Catena","2007",11.565
"Share price 31/12 (est = x cost of EQ - dividend)","Catena","2007",107
"Capitalization","Catena","2007",1237
"Total Assets","Cavotec","2007",13753
"Foreign sales","Cavotec","2007",10646
"BV equity","Cavotec","2007",5162
"Cash","Cavotec","2007",661
"Gross nominal value","Cavotec","2007",0
"R&D expenses","Cavotec","2007",0
"Total debt","Cavotec","2007",1490
"Capex","Cavotec","2007",244
"Net income","Cavotec","2007",1990
"Short term liabilities","Cavotec","2007",4477
"No of shares (millions)","Cavotec","2007",0
"Share price 31/12 (est = x cost of EQ - dividend)","Cavotec","2007",0
"Capitalization","Cavotec","2007",20536
"Total Assets","Clas Ohlson","2007",1938
"Foreign sales","Clas Ohlson","2007",1756
"BV equity","Clas Ohlson","2007",1367
"Cash","Clas Ohlson","2007",348
"Gross nominal value","Clas Ohlson","2007",89
"R&D expenses","Clas Ohlson","2007",0
"Total debt","Clas Ohlson","2007",0
"Capex","Clas Ohlson","2007",126
"Net income","Clas Ohlson","2007",386
"Short term liabilities","Clas Ohlson","2007",547
"No of shares (millions)","Clas Ohlson","2007",65.6
"Share price 31/12 (est = x cost of EQ - dividend)","Clas Ohlson","2007",150
"Capitalization","Clas Ohlson","2007",9840
"Total Assets","Duni","2007",3514
"Foreign sales","Duni","2007",3119
"BV equity","Duni","2007",1416
"Cash","Duni","2007",202
"Gross nominal value","Duni","2007",0
"R&D expenses","Duni","2007",13
"Total debt","Duni","2007",1092
"Capex","Duni","2007",21
"Net income","Duni","2007",571
"Short term liabilities","Duni","2007",787
"Capitalization","Duni","2007",2350
"Total Assets","Electrolux B","2007",66089
"Foreign sales","Electrolux B","2007",100756
"BV equity","Electrolux B","2007",16040
"Cash","Electrolux B","2007",5546
"Gross nominal value","Electrolux B","2007",32813
"R&D expenses","Electrolux B","2007",1497
"Total debt","Electrolux B","2007",11163
"Net income","Electrolux B","2007",2925
"Short term liabilities","Electrolux B","2007",34148
"No of shares (millions)","Electrolux B","2007",281
"Share price 31/12 (est = x cost of EQ - dividend)","Electrolux B","2007",108.5
"Capitalization","Electrolux B","2007",30489
"Total Assets","Eniro","2007",18467
"Foreign sales","Eniro","2007",3609
"BV equity","Eniro","2007",4051
"Cash","Eniro","2007",605
"Gross nominal value","Eniro","2007",0
"R&D expenses","Eniro","2007",177
"Total debt","Eniro","2007",10264
"Capex","Eniro","2007",150
"Net income","Eniro","2007",1305
"Short term liabilities","Eniro","2007",2775
"Capitalization","Eniro","2007",9400
"Total Assets","Ericsson B","2007",245117
"Foreign sales","Ericsson B","2007",179385
"BV equity","Ericsson B","2007",134112
"Cash","Ericsson B","2007",57716
"Gross nominal value","Ericsson B","2007",7933
"R&D expenses","Ericsson B","2007",28842
"Total debt","Ericsson B","2007",33404
"Capex","Ericsson B","2007",3180
"Net income","Ericsson B","2007",22135
"Short term liabilities","Ericsson B","2007",32389
"No of shares (millions)","Ericsson B","2007",3178
"Share price 31/12 (est = x cost of EQ - dividend)","Ericsson B","2007",75.9
"Capitalization","Ericsson B","2007",241210
"Total Assets","Fagerhult","2007",8619
"Foreign sales","Fagerhult","2007",11743
"BV equity","Fagerhult","2007",3740
"Cash","Fagerhult","2007",372
"Gross nominal value","Fagerhult","2007",1866
"R&D expenses","Fagerhult","2007",0
"Total debt","Fagerhult","2007",3088
"Capex","Fagerhult","2007",545
"Net income","Fagerhult","2007",661
"Short term liabilities","Fagerhult","2007",2636
"Capitalization","Fagerhult","2007",4877
"Total Assets","Getinge B","2007",22970
"Foreign sales","Getinge B","2007",15896
"BV equity","Getinge B","2007",6805
"Cash","Getinge B","2007",894
"Gross nominal value","Getinge B","2007",7718
"R&D expenses","Getinge B","2007",335
"Total debt","Getinge B","2007",9455
"Capex","Getinge B","2007",468
"Net income","Getinge B","2007",1233
"Short term liabilities","Getinge B","2007",4439
"No of shares (millions)","Getinge B","2007",201.9
"Share price 31/12 (est = x cost of EQ - dividend)","Getinge B","2007",173.5
"Capitalization","Getinge B","2007",35030
"Total Assets","Hennes and Mauritz B","2007",41734
"Foreign sales","Hennes and Mauritz B","2007",72558
"BV equity","Hennes and Mauritz B","2007",32093
"Cash","Hennes and Mauritz B","2007",16064
"Gross nominal value","Hennes and Mauritz B","2007",4479
"R&D expenses","Hennes and Mauritz B","2007",0
"Total debt","Hennes and Mauritz B","2007",0
"Capex","Hennes and Mauritz B","2007",3522
"Net income","Hennes and Mauritz B","2007",13588
"Short term liabilities","Hennes and Mauritz B","2007",8834
"No of shares (millions)","Hennes and Mauritz B","2007",827.5
"Share price 31/12 (est = x cost of EQ - dividend)","Hennes and Mauritz B","2007",399
"Capitalization","Hennes and Mauritz B","2007",330172.5
"Total Assets","Investor","2007",158787
"Foreign sales","Investor","2007",4099
"BV equity","Investor","2007",155204
"Cash","Investor","2007",5010
"Gross nominal value","Investor","2007",16236
"R&D expenses","Investor","2007",0
"Total debt","Investor","2007",19300
"Capex","Investor","2007",25041
"Net income","Investor","2007",-365
"Short term liabilities","Investor","2007",2244
"Capitalization","Investor","2007",111244
"Total Assets","Kinnevik","2007",62818
"Foreign sales","Kinnevik","2007",805
"BV equity","Kinnevik","2007",50267
"Cash","Kinnevik","2007",72
"Gross nominal value","Kinnevik","2007",0
"R&D expenses","Kinnevik","2007",58
"Total debt","Kinnevik","2007",9511
"Capex","Kinnevik","2007",530
"Net income","Kinnevik","2007",16179
"Short term liabilities","Kinnevik","2007",1698
"Capitalization","Kinnevik","2007",38739
"Total Assets","Lundin Petroleum","2007",21053
"Foreign sales","Lundin Petroleum","2007",5347
"BV equity","Lundin Petroleum","2007",11052
"Cash","Lundin Petroleum","2007",483
"Gross nominal value","Lundin Petroleum","2007",11756
"R&D expenses","Lundin Petroleum","2007",0
"Total debt","Lundin Petroleum","2007",2740
"Capex","Lundin Petroleum","2007",4282
"Net income","Lundin Petroleum","2007",952
"Short term liabilities","Lundin Petroleum","2007",1767
"No of shares (millions)","Lundin Petroleum","2007",315.4
"Share price 31/12 (est = x cost of EQ - dividend)","Lundin Petroleum","2007",67.5
"Capitalization","Lundin Petroleum","2007",21290
"Total Assets","Modern times group B","2007",10958
"Foreign sales","Modern times group B","2007",8565
"BV equity","Modern times group B","2007",5875
"Cash","Modern times group B","2007",521
"Gross nominal value","Modern times group B","2007",2340
"R&D expenses","Modern times group B","2007",0
"Total debt","Modern times group B","2007",515
"Capex","Modern times group B","2007",327
"Net income","Modern times group B","2007",1428
"Short term liabilities","Modern times group B","2007",4654
"No of shares (millions)","Modern times group B","2007",67
"Share price 31/12 (est = x cost of EQ - dividend)","Modern times group B","2007",451
"Capitalization","Modern times group B","2007",30189
"Total Assets","Mycronic","2007",1507
"Foreign sales","Mycronic","2007",520
"BV equity","Mycronic","2007",908
"Cash","Mycronic","2007",451
"Gross nominal value","Mycronic","2007",451
"R&D expenses","Mycronic","2007",279
"Total debt","Mycronic","2007",246.5
"Capex","Mycronic","2007",34.1
"Net income","Mycronic","2007",-288
"Short term liabilities","Mycronic","2007",392
"No of shares (millions)","Mycronic","2007",39.2
"Share price 31/12 (est = x cost of EQ - dividend)","Mycronic","2007",32.2
"Capitalization","Mycronic","2007",1262.24
"Total Assets","Sandvik","2007",85435
"Foreign sales","Sandvik","2007",84121
"BV equity","Sandvik","2007",29823
"Cash","Sandvik","2007",2006
"Gross nominal value","Sandvik","2007",11000
"R&D expenses","Sandvik","2007",1818
"Total debt","Sandvik","2007",31946
"Capex","Sandvik","2007",4811
"Net income","Sandvik","2007",9594
"Short term liabilities","Sandvik","2007",28759
"No of shares (millions)","Sandvik","2007",1186.3
"Share price 31/12 (est = x cost of EQ - dividend)","Sandvik","2007",111
"Capitalization","Sandvik","2007",131679
"Total Assets","SCA B","2007",145050
"Foreign sales","SCA B","2007",98115
"BV equity","SCA B","2007",63590
"Cash","SCA B","2007",3023
"Gross nominal value","SCA B","2007",21180
"R&D expenses","SCA B","2007",595
"Total debt","SCA B","2007",42323
"Capex","SCA B","2007",5968
"Net income","SCA B","2007",7161
"Short term liabilities","SCA B","2007",46192
"No of shares (millions)","SCA B","2007",705.1
"Share price 31/12 (est = x cost of EQ - dividend)","SCA B","2007",114.5
"Capitalization","SCA B","2007",80734
"Total Assets","Securitas B","2007",39185
"Foreign sales","Securitas B","2007",57859
"BV equity","Securitas B","2007",8812
"Cash","Securitas B","2007",4351
"Gross nominal value","Securitas B","2007",4589
"R&D expenses","Securitas B","2007",0
"Total debt","Securitas B","2007",9735
"Capex","Securitas B","2007",838.1
"Net income","Securitas B","2007",526
"Short term liabilities","Securitas B","2007",20036
"No of shares (millions)","Securitas B","2007",369.4
"Share price 31/12 (est = x cost of EQ - dividend)","Securitas B","2007",75
"Capitalization","Securitas B","2007",27705
"Total Assets","Skanska B","2007",78941
"Foreign sales","Skanska B","2007",102139
"BV equity","Skanska B","2007",20724
"Cash","Skanska B","2007",14209
"Gross nominal value","Skanska B","2007",5234
"R&D expenses","Skanska B","2007",75
"Total debt","Skanska B","2007",19415
"Capex","Skanska B","2007",1966
"Net income","Skanska B","2007",4121
"Short term liabilities","Skanska B","2007",53948
"Capitalization","Skanska B","2007",51100
"Total Assets","SKF B","2007",47102
"Foreign sales","SKF B","2007",55637
"BV equity","SKF B","2007",19009
"Cash","SKF B","2007",2946
"Gross nominal value","SKF B","2007",6100
"R&D expenses","SKF B","2007",900
"Total debt","SKF B","2007",13015
"Capex","SKF B","2007",1907
"Net income","SKF B","2007",4767
"Short term liabilities","SKF B","2007",12832
"No of shares (millions)","SKF B","2007",455.3
"Share price 31/12 (est = x cost of EQ - dividend)","SKF B","2007",104.79
"Capitalization","SKF B","2007",47711
"Total Assets","SSAB A","2007",91706
"Foreign sales","SSAB A","2007",35166
"BV equity","SSAB A","2007",29145
"Cash","SSAB A","2007",1707
"Gross nominal value","SSAB A","2007",8850
"R&D expenses","SSAB A","2007",0
"Total debt","SSAB A","2007",45246
"Capex","SSAB A","2007",57592
"Net income","SSAB A","2007",4560
"Short term liabilities","SSAB A","2007",12748
"No of shares (millions)","SSAB A","2007",323.9
"Share price 31/12 (est = x cost of EQ - dividend)","SSAB A","2007",176
"Capitalization","SSAB A","2007",57006
"Total Assets","Sweco ","2007",2438
"Foreign sales","Sweco ","2007",2399
"BV equity","Sweco ","2007",950
"Cash","Sweco ","2007",192
"Gross nominal value","Sweco ","2007",0
"R&D expenses","Sweco ","2007",0
"Total debt","Sweco ","2007",210
"Capex","Sweco ","2007",98
"Net income","Sweco ","2007",303
"Short term liabilities","Sweco ","2007",1390
"Capitalization","Sweco ","2007",5599
"Total Assets","Swedish match","2007",16467
"Foreign sales","Swedish match","2007",7346
"BV equity","Swedish match","2007",22182
"Cash","Swedish match","2007",3439
"Gross nominal value","Swedish match","2007",7336
"R&D expenses","Swedish match","2007",82
"Total debt","Swedish match","2007",10564
"Capex","Swedish match","2007",523
"Net income","Swedish match","2007",2056
"Short term liabilities","Swedish match","2007",5117
"Capitalization","Swedish match","2007",39500
"Total Assets","Tele2 B","2007",48648
"Foreign sales","Tele2 B","2007",27832
"BV equity","Tele2 B","2007",26849
"Cash","Tele2 B","2007",2619
"Gross nominal value","Tele2 B","2007",11536
"R&D expenses","Tele2 B","2007",0
"Total debt","Tele2 B","2007",7306
"Capex","Tele2 B","2007",5198
"Net income","Tele2 B","2007",-190
"Short term liabilities","Tele2 B","2007",21131
"No of shares (millions)","Tele2 B","2007",449
"Share price 31/12 (est = x cost of EQ - dividend)","Tele2 B","2007",129.5
"Capitalization","Tele2 B","2007",58146
"Total Assets","TeliaSonera","2007",216702
"Foreign sales","TeliaSonera","2007",60298
"BV equity","TeliaSonera","2007",127057
"Cash","TeliaSonera","2007",7802
"Gross nominal value","TeliaSonera","2007",20231
"R&D expenses","TeliaSonera","2007",1732
"Total debt","TeliaSonera","2007",43579
"Capex","TeliaSonera","2007",13531
"Net income","TeliaSonera","2007",20298
"Short term liabilities","TeliaSonera","2007",29501
"No of shares (millions)","TeliaSonera","2007",4490.5
"Share price 31/12 (est = x cost of EQ - dividend)","TeliaSonera","2007",60.5
"Capitalization","TeliaSonera","2007",271675
"Total Assets","Volvo ","2007",321647
"Foreign sales","Volvo ","2007",271418
"BV equity","Volvo ","2007",75129
"Cash","Volvo ","2007",30026
"Gross nominal value","Volvo ","2007",40800
"R&D expenses","Volvo ","2007",11059
"Total debt","Volvo ","2007",118093
"Capex","Volvo ","2007",14938
"Net income","Volvo ","2007",15028
"Short term liabilities","Volvo ","2007",130279
"No of shares (millions)","Volvo ","2007",2025
"Share price 31/12 (est = x cost of EQ - dividend)","Volvo ","2007",108.5
"Capitalization","Volvo ","2007",219713
"Total Assets","ÅF B","2007",2796
"Foreign sales","ÅF B","2007",947
"BV equity","ÅF B","2007",1339
"Cash","ÅF B","2007",310
"Gross nominal value","ÅF B","2007",0
"R&D expenses","ÅF B","2007",0
"Total debt","ÅF B","2007",390
"Capex","ÅF B","2007",46
"Net income","ÅF B","2007",220
"Short term liabilities","ÅF B","2007",1180
"Capitalization","ÅF B","2007",2862
"SIZE","AAK","2008",9.31
"Sales","AAK","2008",17207
"FSD","AAK","2008",1
"FSTS","AAK","2008",0.88
"Tobin's Q","AAK","2008",1.18
"FXD","AAK","2008",1
"Gross FXD","AAK","2008",3587
"DERIV","AAK","2008",0.21
"R&D/sales","AAK","2008",0.007
"Leverage","AAK","2008",2.19
"Quick ratio","AAK","2008",0.031
"Capex/sales","AAK","2008",0.023
"ROA ","AAK","2008",-4e-04
"DD","AAK","2008",1
"ID","AAK","2008",0
"DE","AAK","2008",-131
"DDE","AAK","2008",0
"SIZE","Active Biotech","2008",6.16
"Sales","Active Biotech","2008",53.5
"FSD","Active Biotech","2008",1
"FSTS","Active Biotech","2008",0.26
"Tobin's Q","Active Biotech","2008",4.13
"FXD","Active Biotech","2008",0
"Gross FXD","Active Biotech","2008",0
"DERIV","Active Biotech","2008",0
"R&D/sales","Active Biotech","2008",3.88
"Leverage","Active Biotech","2008",1.58
"Quick ratio","Active Biotech","2008",2.4
"Capex/sales","Active Biotech","2008",53.36
"ROA ","Active Biotech","2008",-0.38
"DD","Active Biotech","2008",0
"ID","Active Biotech","2008",0
"DE","Active Biotech","2008",0
"DDE","Active Biotech","2008",0
"SIZE","Alfa Laval","2008",10.28
"Sales","Alfa Laval","2008",27850
"FSD","Alfa Laval","2008",1
"FSTS","Alfa Laval","2008",0.97
"Tobin's Q","Alfa Laval","2008",1.64
"FXD","Alfa Laval","2008",1
"Gross FXD","Alfa Laval","2008",10001
"DERIV","Alfa Laval","2008",0.36
"R&D/sales","Alfa Laval","2008",0.026
"Leverage","Alfa Laval","2008",0.35
"Quick ratio","Alfa Laval","2008",0.101
"Capex/sales","Alfa Laval","2008",0.027
"ROA ","Alfa Laval","2008",0.131
"DD","Alfa Laval","2008",1
"ID","Alfa Laval","2008",0
"DE","Alfa Laval","2008",-515
"DDE","Alfa Laval","2008",0
"SIZE","Arcam","2008",4.09
"Sales","Arcam","2008",58.3
"FSD","Arcam","2008",1
"FSTS","Arcam","2008",0.31
"Tobin's Q","Arcam","2008",1.51
"FXD","Arcam","2008",0
"Gross FXD","Arcam","2008",0
"DERIV","Arcam","2008",0
"R&D/sales","Arcam","2008",0.221
"Leverage","Arcam","2008",0
"Quick ratio","Arcam","2008",0
"Capex/sales","Arcam","2008",0.091
"ROA ","Arcam","2008",-0.343
"DD","Arcam","2008",0
"ID","Arcam","2008",0
"DE","Arcam","2008",0
"DDE","Arcam","2008",0
"SIZE","ASSA ABLOY B","2008",10.71
"Sales","ASSA ABLOY B","2008",34829
"FSD","ASSA ABLOY B","2008",1
"FSTS","ASSA ABLOY B","2008",0.96
"Tobin's Q","ASSA ABLOY B","2008",1.3
"FXD","ASSA ABLOY B","2008",1
"Gross FXD","ASSA ABLOY B","2008",4312
"DERIV","ASSA ABLOY B","2008",0.12
"R&D/sales","ASSA ABLOY B","2008",0.026
"Leverage","ASSA ABLOY B","2008",0.74
"Quick ratio","ASSA ABLOY B","2008",0.124
"Capex/sales","ASSA ABLOY B","2008",0.024
"ROA ","ASSA ABLOY B","2008",0.054
"DD","ASSA ABLOY B","2008",1
"ID","ASSA ABLOY B","2008",0
"DE","ASSA ABLOY B","2008",2131
"DDE","ASSA ABLOY B","2008",1
"SIZE","Atlas Copco","2008",11.23
"Sales","Atlas Copco","2008",74177
"FSD","Atlas Copco","2008",1
"FSTS","Atlas Copco","2008",0.975
"Tobin's Q","Atlas Copco","2008",1.72
"FXD","Atlas Copco","2008",1
"Gross FXD","Atlas Copco","2008",1695
"DERIV","Atlas Copco","2008",0.02
"R&D/sales","Atlas Copco","2008",0.02
"Leverage","Atlas Copco","2008",0.91
"Quick ratio","Atlas Copco","2008",0.25
"Capex/sales","Atlas Copco","2008",0.049
"ROA ","Atlas Copco","2008",0.14
"DD","Atlas Copco","2008",1
"ID","Atlas Copco","2008",1
"DE","Atlas Copco","2008",-3824
"DDE","Atlas Copco","2008",0
"SIZE","B&B tools","2008",8.68
"Sales","B&B tools","2008",9133
"FSD","B&B tools","2008",1
"FSTS","B&B tools","2008",0.47
"Tobin's Q","B&B tools","2008",1.58
"FXD","B&B tools","2008",1
"Gross FXD","B&B tools","2008",293
"DERIV","B&B tools","2008",0.03
"R&D/sales","B&B tools","2008",0
"Leverage","B&B tools","2008",1.29
"Quick ratio","B&B tools","2008",0.1
"Capex/sales","B&B tools","2008",0.091
"ROA ","B&B tools","2008",0.074
"DD","B&B tools","2008",1
"ID","B&B tools","2008",0
"DE","B&B tools","2008",25
"DDE","B&B tools","2008",1
"SIZE","Beijer alma","2008",7.29
"Sales","Beijer alma","2008",1836
"FSD","Beijer alma","2008",1
"FSTS","Beijer alma","2008",0.8
"Tobin's Q","Beijer alma","2008",1.37
"FXD","Beijer alma","2008",1
"Gross FXD","Beijer alma","2008",241
"DERIV","Beijer alma","2008",0.13
"R&D/sales","Beijer alma","2008",0.008
"Leverage","Beijer alma","2008",0.19
"Quick ratio","Beijer alma","2008",0.5
"Capex/sales","Beijer alma","2008",0.049
"ROA ","Beijer alma","2008",0.15
"DD","Beijer alma","2008",1
"ID","Beijer alma","2008",1
"DE","Beijer alma","2008",-14.7
"DDE","Beijer alma","2008",0
"SIZE","Beijer ref","2008",7.7
"Sales","Beijer ref","2008",3357
"FSD","Beijer ref","2008",1
"FSTS","Beijer ref","2008",0.72
"Tobin's Q","Beijer ref","2008",1.2
"FXD","Beijer ref","2008",0
"Gross FXD","Beijer ref","2008",0
"DERIV","Beijer ref","2008",0
"R&D/sales","Beijer ref","2008",0.00057
"Leverage","Beijer ref","2008",0.73
"Quick ratio","Beijer ref","2008",0.13
"Capex/sales","Beijer ref","2008",0.027
"ROA ","Beijer ref","2008",0.115
"DD","Beijer ref","2008",1
"ID","Beijer ref","2008",0
"DE","Beijer ref","2008",0
"DDE","Beijer ref","2008",0
"SIZE","Bilia","2008",8.6
"Sales","Bilia","2008",14280
"FSD","Bilia","2008",1
"FSTS","Bilia","2008",0.38
"Tobin's Q","Bilia","2008",0.8
"FXD","Bilia","2008",0
"Gross FXD","Bilia","2008",0
"DERIV","Bilia","2008",0
"R&D/sales","Bilia","2008",0
"Leverage","Bilia","2008",0.95
"Quick ratio","Bilia","2008",0.03
"Capex/sales","Bilia","2008",0.003
"ROA ","Bilia","2008",-0.02
"DD","Bilia","2008",1
"ID","Bilia","2008",0
"DE","Bilia","2008",0
"DDE","Bilia","2008",0
"SIZE","BioGaia","2008",5
"Sales","BioGaia","2008",145
"FSD","BioGaia","2008",1
"FSTS","BioGaia","2008",0.613793103
"Tobin's Q","BioGaia","2008",3.84
"FXD","BioGaia","2008",0
"Gross FXD","BioGaia","2008",0
"DERIV","BioGaia","2008",0
"R&D/sales","BioGaia","2008",0.16
"Leverage","BioGaia","2008",0
"Quick ratio","BioGaia","2008",2.6
"Capex/sales","BioGaia","2008",0.02
"ROA ","BioGaia","2008",0.23
"DD","BioGaia","2008",1
"ID","BioGaia","2008",0
"DE","BioGaia","2008",0
"DDE","BioGaia","2008",0
"SIZE","Boliden","2008",10.34
"Sales","Boliden","2008",30987
"FSD","Boliden","2008",1
"FSTS","Boliden","2008",0.75
"Tobin's Q","Boliden","2008",0.64
"FXD","Boliden","2008",1
"Gross FXD","Boliden","2008",1731
"DERIV","Boliden","2008",0.06
"R&D/sales","Boliden","2008",0.0122
"Leverage","Boliden","2008",0.47
"Quick ratio","Boliden","2008",0.31
"Capex/sales","Boliden","2008",0.149
"ROA ","Boliden","2008",0.03
"DD","Boliden","2008",1
"ID","Boliden","2008",1
"DE","Boliden","2008",4149
"DDE","Boliden","2008",1
"SIZE","Bure equity","2008",8
"Sales","Bure equity","2008",1097
"FSD","Bure equity","2008",1
"FSTS","Bure equity","2008",0.33
"Tobin's Q","Bure equity","2008",0.86
"FXD","Bure equity","2008",0
"Gross FXD","Bure equity","2008",0
"DERIV","Bure equity","2008",0
